occurrenceID,eventID,month,day,year,locationID,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,countryCode,county,habitat,basisOfRecord,recordedBy,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,occurrenceRemarks,,identificationVerificationStatus,taxonID,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,scientificNameAuthorship,vernacularName,collectionCode
SBN:104785:100328,SBN:eventId:104785,07,08,2023,site:569:1,59.55292,-18.333422,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,1,1,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:100328,Apatura iris,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Apatura,iris,species,"Linnaeus, 1758",Sälgskimmerfjäril,SBN
SBN:104785:100995,SBN:eventId:104785,07,08,2023,site:569:3,59.553285,18.335401,1000,Sweden,SE,Stockholms län,"lakeside, edge of forest",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,1,1,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:100995,Glaucopsyche alexis,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Glaucopsyche,alexis,species,"Poda, 1761",Klöverblåvinge,SBN
SBN:104785:201028,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2,,,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,10,10,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201028,Thymelicus lineola,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thymelicus,lineola,species,"Ochsenheimer, 1808",Mindre tåtelsmygare,SBN
SBN:104785:201031,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2 | site:569:3 ,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,307,307,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201031,Ochlodes sylvanus,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ochlodes,sylvanus,species,"Esper, 1778",Ängssmygare,SBN
SBN:104785:201039,SBN:eventId:104785,07,08,2023,site:569:1,59.55292,-18.333422,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,2,2,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201039,Pieris brassicae,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,brassicae,species,"Linnaeus, 1758",Kålfjäril,SBN
SBN:104785:201040,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2,,,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,11,11,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201041,Pieris napi,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,napi,species,"Linnaeus, 1758",Rapsfjäril,SBN
SBN:104785:201040,SBN:eventId:104785,07,08,2023,site:569:2,59.552917,18.335401,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,1,1,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201040,Pieris rapae,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,rapae,species,"Linnaeus, 1758",Rovfjäril,SBN
SBN:104785:201045,SBN:eventId:104785,07,08,2023,site:569:2,59.552917,18.335401,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,2,2,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201045,Colias palaeno,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias,palaeno,species,"Linnaeus, 1760",Svavelgul höfjäril,SBN
SBN:104785:201051,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2 | site:569:3 ,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,23,23,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201051,Gonepteryx rhamni,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,rhamni,species,"Linnaeus, 1758",Citronfjäril,SBN
SBN:104785:201065,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2 | site:569:3 ,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,22,22,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201065,Argynnis paphia,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnis,paphia,species,"Linnaeus, 1758",Silverstreckad pärlemorfjäril,SBN
SBN:104785:201067,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2,,,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,15,15,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201067,Speyeria aglaja,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Speyeria,aglaja,species,"Linnaeus, 1758",Ängspärlemorfjäril,SBN
SBN:104785:201068,SBN:eventId:104785,07,08,2023,site:569:2 | site:569:3,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,21,21,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201068,Fabriciana adippe,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Fabriciana,adippe,species,"Denis & Schiffermüller, 1775",Skogspärlemorfjäril,SBN
